PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 27, filenames: A:[27]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi & B:[28]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
239,193,-0.2859685123,-0.03874386102,1
239,225,-0.1714867651,-0.05227059871,1
239,257,-0.2329855412,0.06063447893,1
239,289,-0.1835682988,0.08010274172,1
239,321,0.003781273961,0.2103413492,1
239,353,0.07368898392,0.04656366259,1
239,385,-0.1682255417,-0.3922886252,1
239,417,-0.1857050359,-0.3794409037,1
239,449,-0.1536017358,-0.3924994469,1
239,481,-0.2735372484,-0.2195294052,1
239,513,-0.2289469987,0.2848470807,1
239,545,-0.2140400112,0.04454229772,1
239,577,-0.6346889734,-0.7423348427,1
239,609,-1.909459591,-3.173357725,1
239,641,-1.91718483,-0.8684783578,1
239,673,-1.757333517,-0.671457231,1
239,705,-0.3843955994,-0.9454309344,1
239,737,0.6811031103,-0.5705646276,1
239,769,-0.1702468097,-0.5532819033,1
239,801,-0.4342581034,-0.7314614058,1
239,833,-0.4844009876,-0.5592422485,1
239,865,-0.4403694868,-0.07543694973,1
239,897,-0.4623788595,0.4048619568,1
239,929,0.0607073307,0.6898158789,1
239,961,-1.048573494,1.769971609,1
239,993,-1.408220172,1.889864206,1
239,1025,-0.9653512836,0.4321087599,1
239,1057,-0.9227159023,0.09235461056,1
239,1089,-0.3672780991,0.004946678877,1
239,1121,0.1588390619,-0.420686096,1
239,1153,-0.01165805385,-0.3852145672,1
239,1185,0.3309328556,0.1902066767,1
239,1217,0.652757287,-0.1373628676,1
239,1249,-0.2096104026,0.3918043375,1
239,1281,-1.032238483,1.143845797,1
239,1313,-1.081184626,1.480295181,1
239,1345,-1.037140131,1.043135762,1
239,1377,-1.292372227,0.6716985703,1
239,1409,-1.584117651,0.4815631509,1
239,1441,-1.934981704,0.3067295551,1
239,1473,-2.208165169,0.2541645169,1
239,1505,-1.141916752,0.04316174984,1
239,1537,-0.5291983485,0.3284444213,1
239,1569,-0.57509619,-0.01246824861,1
239,1601,-0.08595339209,0.5298757553,1
239,1633,4.990087509,10.14640427,1
239,1665,-0.7887710929,0.1221689582,1
239,1697,-1.173728347,0.4564099312,1
239,1729,-0.516474843,0.4887164831,1
239,1761,0.04582211375,-0.2411809564,1
239,1793,0.4037365615,0.160174787,1
239,1825,0.6057516336,0.5412496328,1
239,1857,0.46823439,0.6093689203,1
239,1889,0.1089745462,0.4561729133,1
239,1921,0.1955026686,0.2343426794,1
239,1953,-0.1208895147,0.1691003144,1
239,1985,-0.2014072239,-0.0985301286,1
239,2017,0.1152891815,-0.1616210639,1
271,33,0.3231878877,0.2713041902,1
271,65,0.01660182327,0.1879333258,1
271,97,-0.2892919481,-0.1362533718,1
271,129,-0.1819141805,-0.1055174172,1
271,161,-0.004758514464,-0.09241253883,1
271,193,0.1177441478,-0.005312439054,1
271,225,0.1034235358,-0.01937311888,1
271,257,-0.0729084909,-0.04701893032,1
271,289,-0.1630483568,-0.02304204553,1
271,321,-0.05350257829,0.1669868976,1
271,353,0.1709148884,0.09743507206,1
271,385,-0.04275316745,-0.2733670771,1
271,417,-0.2039314359,-0.3042207062,1
271,449,-0.3862800598,-0.451080054,1
271,481,-0.4018984735,-0.7935898304,1
271,513,-0.0502473861,-0.2611061931,1
271,545,-0.3024459481,-0.04945334792,1
271,577,-0.6308116913,-0.210151881,1
271,609,-0.5648150444,-0.4814748168,1
271,641,-1.275342226,-0.09747797251,1
271,673,-1.231716394,-0.05125772953,1
271,705,-0.2437101603,-0.5959939361,1
271,737,-0.2920452356,-0.9688930511,1
271,769,-0.4380560219,-0.2875869274,1
271,801,-0.3788161278,-0.4614231586,1
271,833,-0.5725978613,-0.4819769263,1
271,865,0.286714375,0.4548867345,1
271,897,-12.36802292,10.72799301,1
271,929,-19.36931419,5.212629795,1
271,961,0.6698430181,1.271644115,1
271,993,-0.3445557952,1.521057129,1
271,1025,-0.7212601304,0.5130378008,1
271,1057,-0.6612337828,0.1764884889,1
