PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 60, filenames: A:[60]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[61]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
303,2017,1.0976336,-0.6561100483,1
335,33,-7.453899384,4.157503128,1
335,65,2.24750185,-6.171103001,1
335,97,2.599045277,-3.847794771,1
335,129,1.881742954,-3.945083618,1
335,161,1.946675181,-2.691840649,1
335,193,2.659387827,-2.704359531,1
335,225,2.26102829,-2.376161337,1
335,257,2.074220181,-2.170431614,1
335,289,2.310348034,-2.170069218,1
335,321,2.837060452,-2.141165495,1
335,353,1.288246274,-0.461411953,1
335,385,1.670538902,-2.14769125,1
335,417,2.659999132,-2.841835022,1
335,449,1.674452901,-2.571267366,1
335,481,0.9191808701,-2.955483437,1
335,513,1.011269212,-2.649446011,1
335,545,1.308645129,-2.705551147,1
335,577,1.150760651,-2.466934681,1
335,609,0.5747773647,-2.725777864,1
335,641,0.3672981262,-5.503292084,1
335,673,0.8631845713,-3.772002935,1
335,705,1.915426254,-2.601044655,1
335,737,1.050784707,-1.643553257,1
335,769,0.4483357072,-1.326070666,1
335,801,1.147692442,-1.121343851,1
335,833,2.41002512,-2.25250411,1
335,865,2.646818161,-2.78109622,1
335,897,1.247719884,-2.796111345,1
335,929,-0.5386798382,-2.707663059,1
335,961,-2.181572437,-3.460050583,1
335,993,-1.855297804,-3.332785368,1
335,1025,-0.8773270845,-1.849759817,1
335,1057,-0.7029602528,-1.415566683,1
335,1089,-1.077157021,-1.265202165,1
335,1121,-1.603283882,-1.047367692,1
335,1153,-2.671276569,-0.2260780334,1
335,1185,-4.882338047,-0.3145604134,1
335,1217,-4.94896698,1.024236917,1
335,1249,-3.579939365,-0.2016623914,1
335,1281,-2.700668335,-0.3347391486,1
335,1313,-3.152406216,-0.007624775171,1
335,1345,-3.509057045,-0.5115013123,1
335,1377,-5.282319069,0.04628491402,1
335,1409,-3.794085026,1.547041297,1
335,1441,-2.446806192,0.4590788484,1
335,1473,-2.001480579,-0.4176419377,1
335,1505,-1.588107586,-1.186517239,1
335,1537,-1.644592047,-2.22547555,1
335,1569,-0.9816291332,-1.678046107,1
335,1601,0.5786210299,-1.240797877,1
335,1633,-0.3978102803,-1.852185726,1
