 ,Area,Mean,Min,Max,Ch,Frame
447,16340.532,8.598,3,191,1,224
448,16340.532,8.792,1,186,2,224
449,16340.532,8.513,3,184,1,225
450,16340.532,8.792,1,190,2,225
451,16340.532,8.538,3,194,1,226
452,16340.532,8.766,1,176,2,226
453,16340.532,8.582,3,195,1,227
454,16340.532,8.768,1,173,2,227
455,16340.532,8.533,3,180,1,228
456,16340.532,8.744,1,164,2,228
457,16340.532,8.572,3,187,1,229
458,16340.532,8.736,1,180,2,229
459,16340.532,8.529,3,182,1,230
460,16340.532,8.792,1,180,2,230
461,16340.532,8.545,3,175,1,231
462,16340.532,8.740,1,194,2,231
463,16340.532,8.589,3,183,1,232
464,16340.532,8.753,1,197,2,232
465,16340.532,8.493,3,196,1,233
466,16340.532,8.707,1,183,2,233
467,16340.532,8.488,3,199,1,234
468,16340.532,8.704,1,175,2,234
469,16340.532,8.524,3,198,1,235
470,16340.532,8.719,1,169,2,235
471,16340.532,8.491,3,198,1,236
472,16340.532,8.687,1,180,2,236
473,16340.532,8.506,3,209,1,237
474,16340.532,8.628,1,179,2,237
475,16340.532,8.526,3,175,1,238
476,16340.532,8.692,1,168,2,238
477,16340.532,8.530,3,199,1,239
478,16340.532,8.688,1,176,2,239
479,16340.532,8.506,3,167,1,240
480,16340.532,8.742,1,187,2,240
481,16340.532,8.476,3,163,1,241
482,16340.532,8.715,1,160,2,241
483,16340.532,8.507,3,193,1,242
484,16340.532,8.737,1,186,2,242
485,16340.532,8.489,3,157,1,243
486,16340.532,8.799,1,171,2,243
487,16340.532,8.537,3,156,1,244
488,16340.532,8.726,1,170,2,244
489,16340.532,8.468,3,185,1,245
490,16340.532,8.753,1,181,2,245
491,16340.532,8.488,3,173,1,246
492,16340.532,8.685,1,172,2,246
493,16340.532,8.435,3,153,1,247
494,16340.532,8.673,1,181,2,247
495,16340.532,8.464,3,180,1,248
496,16340.532,8.707,1,176,2,248
497,16340.532,8.458,3,180,1,249
498,16340.532,8.613,1,182,2,249
499,16340.532,8.471,3,176,1,250
500,16340.532,8.699,1,189,2,250
501,16340.532,8.484,3,171,1,251
