PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TimeSrs025_TgUtrmcherry.avi & B:[2]MAX_TimeSrs025_TgUtrmcherry.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
303,193,-2.869131804,0.00419844687,1
303,225,-3.240667105,-0.4406628609,1
303,257,-3.512349606,-1.630658031,1
303,289,-3.947589397,-3.388466835,1
303,321,-2.990971565,-6.69669342,1
303,353,-2.944695711,-4.807051659,1
303,385,-1.723109722,-5.917737961,1
303,417,-1.823857665,-6.241445541,1
303,449,0.1380541325,-2.183935404,1
303,481,-0.3832144737,-2.558051586,1
303,513,-0.7412468791,-2.48908329,1
303,545,-0.1525179744,-1.560413122,1
303,577,-0.401687026,-1.323663235,1
303,609,-0.6899474859,-0.2274309397,1
303,641,-0.8806023002,-0.751334846,1
303,673,-0.884151876,-0.6547101736,1
303,705,-0.4088925123,-0.5403078794,1
303,737,-0.1509003937,-0.7181774974,1
303,769,-0.5031135082,-0.07854372263,1
303,801,-0.5430955291,-0.4882167578,1
303,833,-1.323491812,-1.22668457,1
303,865,-1.342566967,-2.175981998,1
303,897,-0.4120924473,-0.9554085732,1
303,929,-0.3828868866,-0.3905872107,1
303,961,-0.1513107419,-0.757363677,1
303,993,-0.2779605389,-0.3501091003,1
303,1025,-0.746776104,-0.7030773163,1
303,1057,-0.8169676661,-1.609948993,1
303,1089,-0.09556010365,-1.689065933,1
303,1121,0.4447593093,-1.408164859,1
303,1153,0.5436966419,-1.163668633,1
303,1185,0.4796313941,-1.235599279,1
303,1217,0.2473967075,-1.098757029,1
303,1249,0.2874631882,-0.1616795063,1
303,1281,0.3083612323,-0.5514163971,1
303,1313,-0.2332812548,-1.295245171,1
303,1345,0.8696283698,-3.992100954,1
303,1377,1.857967257,-3.41447854,1
303,1409,0.6981512308,-1.861726999,1
303,1441,0.4051005244,-1.356047392,1
303,1473,0.8688029647,-0.08741384745,1
303,1505,1.248541951,0.002188116312,1
303,1537,0.4841759205,-0.2102463543,1
