PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 4, filenames: A:[4]MAX_TimeSrs025_TgUtrmcherry.avi & B:[5]MAX_TimeSrs025_TgUtrmcherry.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
271,1409,23.76307869,-20.00099182,1
271,1441,24.19680595,-16.40212059,1
271,1473,24.90797424,5.684516907,1
271,1505,20.50743866,-30.22379112,1
271,1537,17.39517593,-7.250562668,1
271,1569,17.90946007,-14.64834499,1
271,1601,18.17213631,-14.68267918,1
271,1633,17.7900486,-14.72485256,1
271,1665,16.27825165,-13.75099373,1
271,1697,14.94886303,-13.12255287,1
271,1729,13.51631355,-12.86063004,1
271,1761,12.07725143,-12.82167053,1
271,1793,10.62338638,-12.77484322,1
271,1825,8.922164917,-11.7645216,1
271,1857,8.167982101,-9.416624069,1
271,1889,7.597590923,-7.014262199,1
271,1921,8.49779892,-7.096977234,1
271,1953,8.688821793,-5.800778866,1
271,1985,7.123134136,-3.709420919,1
271,2017,-1.257890701,-0.6461651325,1
303,33,-8.657593727,3.494656563,1
303,65,-7.52598381,-3.869936466,1
303,97,-2.888950586,-5.749397278,1
303,129,-2.818358421,-4.345739841,1
303,161,-3.214145184,-3.679934502,1
303,193,-3.466465712,-3.808777809,1
303,225,-3.535909176,-5.565421581,1
303,257,-3.502637625,-6.578342915,1
303,289,-3.644679785,-6.474991322,1
303,321,-3.840561867,-5.11058712,1
303,353,-3.566936731,-2.374492884,1
303,385,-3.516225338,-1.800935507,1
303,417,-2.40558219,-2.493463755,1
303,449,-1.366858482,-1.955048084,1
303,481,-1.200077295,-2.413050652,1
303,513,-0.3596220016,-2.363085508,1
303,545,-0.1108551323,-1.67157197,1
303,577,-0.3482447267,-1.592548728,1
303,609,-1.174363256,-1.069376945,1
303,641,-0.1151615381,-0.9695510864,1
303,673,0.2187501192,-0.5215290189,1
303,705,0.3976552784,0.2037193477,1
303,737,0.5152869821,0.2443895936,1
303,769,0.3012413979,0.3004611135,1
303,801,-0.1554202437,0.4068983793,1
303,833,-0.03793241084,-0.2625951767,1
303,865,-11.66249466,12.86661625,1
303,897,9.436325073,6.460850716,1
303,929,0.8282251358,21.41457939,1
303,961,14.5557003,8.632635117,1
303,993,9.545705795,4.982100964,1
303,1025,10.56686306,8.178771973,1
303,1057,4.637986183,3.664008141,1
303,1089,20.72832489,0.6228394508,1
303,1121,23.13358688,-2.2721591,1
303,1153,22.52197075,-3.811964512,1
303,1185,23.76654053,-3.854295731,1
303,1217,25.56298065,-5.380268097,1
303,1249,27.44936943,-7.73414278,1
303,1281,27.77001381,-9.232978821,1
303,1313,28.3195343,-12.37037659,1
303,1345,30.85484886,-13.72458267,1
303,1377,29.65955734,-13.67246532,1
303,1409,16.67169952,-15.09239483,1
303,1441,19.21100426,-7.838013649,1
303,1473,20.95611,-23.0472641,1
303,1505,17.4522686,-19.88277626,1
303,1537,28.57625389,1.401575089,1
303,1569,17.67534447,-13.8330822,1
303,1601,16.6609726,-14.96792603,1
303,1633,16.68890572,-14.8046093,1
303,1665,16.6514473,-14.63125801,1
303,1697,15.07085228,-13.7140255,1
303,1729,13.49516869,-13.45553875,1
303,1761,11.93220615,-13.55336666,1
303,1793,10.59221363,-12.85331535,1
303,1825,8.967305183,-11.62079048,1
303,1857,7.137604237,-10.80252266,1
303,1889,6.045652866,-8.784747124,1
303,1921,6.178624153,-6.633676052,1
303,1953,6.30680275,-8.249501228,1
303,1985,5.97830534,-5.94326973,1
303,2017,4.142225266,-0.3256479502,1
335,33,-4.451966286,4.24960041,1
335,65,-4.548098564,-3.713160515,1
335,97,-0.878537178,-2.906019926,1
335,129,-1.027457714,-1.084521294,1
335,161,-3.114749432,-2.686355591,1
335,193,-2.728904009,-3.358324051,1
335,225,-2.356395483,-4.367032528,1
335,257,-3.438583136,-4.65168047,1
335,289,-4.003713608,-4.678686142,1
335,321,-3.390482426,-4.062139988,1
335,353,-2.649980307,-1.293068171,1
335,385,-2.489736795,-2.330568552,1
335,417,-1.901471853,-2.802283764,1
335,449,-1.044914722,-3.587095737,1
335,481,-0.773026824,-3.065923691,1
335,513,0.7135219574,-2.657951117,1
335,545,0.8380081654,-1.845885515,1
335,577,0.6478669047,-1.562865853,1
335,609,0.1585556269,-1.185356379,1
335,641,0.3981989622,-0.8100138307,1
335,673,0.1722050905,-0.128710568,1
335,705,0.03264734149,0.6731498241,1
335,737,0.001719266176,0.4935272932,1
335,769,-0.1894324124,-0.03097867966,1
335,801,-0.4230905771,-0.03801548481,1
335,833,0.2911729813,17.71762466,1
335,865,-16.24967575,-3.468943834,1
335,897,1.015480995,0.1251003742,1
335,929,-0.2305884361,-0.5137476921,1
335,961,14.36021519,8.170091629,1
335,993,15.80121994,8.605447769,1
335,1025,9.09928894,7.123911858,1
335,1057,12.57332611,6.076752186,1
335,1089,21.83759499,0.5373349786,1
335,1121,25.1958046,-4.088929176,1
335,1153,24.04766846,-4.899846554,1
335,1185,25.35095978,-5.515877724,1
335,1217,26.12160683,-6.107634544,1
335,1249,26.56058693,-7.246247768,1
335,1281,26.9759655,-8.663755417,1
335,1313,25.86163902,-9.309351921,1
335,1345,11.17957306,-15.05788994,1
335,1377,22.05318642,-11.2997961,1
335,1409,39.01597595,-13.89522648,1
335,1441,17.64015007,-6.674611092,1
335,1473,14.70505333,-10.23809147,1
335,1505,13.53837013,-29.5483551,1
335,1537,-1.46764946,-10.72842789,1
335,1569,-2.483293533,-11.03143978,1
335,1601,26.27956772,-19.30656052,1
335,1633,15.42347813,-15.04456234,1
335,1665,14.48683262,-15.49148083,1
335,1697,13.54081345,-15.12049294,1
335,1729,12.0382719,-14.18413162,1
335,1761,10.18760586,-14.27825356,1
335,1793,8.691664696,-12.89675236,1
335,1825,7.383206367,-11.2248497,1
335,1857,6.042611122,-10.25631142,1
335,1889,7.382950306,-6.222099304,1
335,1921,6.447718143,-5.400827885,1
335,1953,4.424036026,-7.457577229,1
335,1985,5.081483841,-5.446322918,1
335,2017,6.491150856,-0.1141986847,1
367,33,-3.392910004,5.488413811,1
367,65,-2.37083745,-4.681834221,1
367,97,-0.146613121,-0.393815279,1
367,129,-2.862723351,-3.399498701,1
367,161,-4.255476952,-4.396842957,1
367,193,-1.377057076,-2.889085531,1
367,225,-2.113904476,-1.943170786,1
367,257,-3.106976032,-2.357833385,1
367,289,-3.731309891,-2.733321667,1
367,321,-2.739880562,-3.205201864,1
367,353,-2.497168541,-3.29923296,1
367,385,-1.960846186,-3.668327808,1
367,417,-0.3829599619,-2.365493059,1
367,449,-1.217245698,-3.461094856,1
367,481,-0.4858027399,-3.016234636,1
367,513,1.525664568,-2.29307127,1
367,545,1.848186374,-2.551866531,1
367,577,1.644356966,-2.250187159,1
367,609,-3.498421192,-7.736784935,1
367,641,-0.09085375071,-0.196698606,1
367,673,0.3846079707,-0.01029121876,1
367,705,0.2252628505,0.093495287,1
367,737,0.1133082807,0.54210639,1
367,769,11.07352066,3.77486372,1
367,801,-0.03030711412,-0.2521104515,1
367,833,1.532646179,18.35255814,1
367,865,18.92602348,-10.07722473,1
367,897,9.32711792,15.58586693,1
367,929,0.2450065613,-0.4420676231,1
367,961,16.04137421,6.869985104,1
367,993,18.5819931,7.558701515,1
367,1025,10.39907837,6.087674618,1
367,1057,15.69877243,3.694145679,1
367,1089,23.37900162,0.3028584123,1
