PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 2, filenames: A:[2]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[3]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
324,195,NaN,NaN,2
324,211,NaN,NaN,2
324,227,NaN,NaN,2
324,243,NaN,NaN,2
324,259,NaN,NaN,2
324,275,NaN,NaN,2
324,291,NaN,NaN,2
324,307,0.1540088356,-0.8910929561,1
324,323,NaN,NaN,2
324,339,-0.0439542979,-0.2225195169,1
324,355,-0.01735444367,0.234048605,1
324,371,-0.1894419193,-0.1120462716,1
324,387,0.05298340321,0.04588671029,1
324,403,-0.7259962559,0.2768770456,1
340,19,0.3227654099,2.409276962,1
340,35,0.5186552405,2.51514554,1
340,51,0.65079391,2.25906539,1
340,67,0.5735408664,2.441430092,1
340,83,0.6082013249,2.653309345,1
340,99,0.8305569887,2.615157843,1
340,115,1.21979022,2.168881893,1
340,131,1.401555181,1.426144004,1
340,147,1.257946014,1.274745822,1
340,163,1.52090013,1.307240129,1
340,179,2.3186903,1.165362716,1
340,195,-0.1007480621,1.942197084,1
340,211,0.1476769447,0.03862923384,1
340,227,NaN,NaN,2
340,243,-0.221015349,-0.0114621222,1
340,259,-0.3381950557,-0.3504556417,1
340,275,1.945191503,1.944053531,1
340,291,NaN,NaN,2
340,307,NaN,NaN,2
340,323,NaN,NaN,2
340,339,NaN,NaN,2
340,355,0.2060937881,0.1311313361,1
340,371,1.068446398,-0.04619298875,1
340,387,NaN,NaN,2
340,403,-0.1038729548,-0.1201720834,1
356,19,0.5158558488,2.273668051,1
356,35,0.4019033611,2.433000088,1
356,51,0.4037563801,2.26080513,1
356,67,0.353795588,2.491258144,1
356,83,0.4940658808,2.629746437,1
356,99,0.8641871214,2.375433445,1
356,115,1.046386003,2.028815746,1
356,131,1.078075886,1.574922085,1
356,147,0.9629955888,1.362172484,1
356,163,0.9446750879,1.163911939,1
356,179,1.049927473,0.7268654108,1
356,195,0.7216659784,0.7218652368,1
356,211,-0.1378451288,-0.4551077485,1
356,227,0.1113780513,-0.5894075632,1
356,243,-0.4723490179,-0.4869616926,1
