PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 49, filenames: A:[49]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi & B:[50]MAX_Pos013_1202204_TgKrt18Utr_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
335,609,-1.764707923,-2.332679033,1
335,641,-1.524275541,-1.573286414,1
335,673,-1.670730472,-1.237472415,1
335,705,-4.084159851,-2.712733269,1
335,737,-4.18353653,-2.139555931,1
335,769,-4.609097481,-1.134540796,1
335,801,-5.253739357,0.0564904213,1
335,833,-3.578502178,1.070170999,1
335,865,-1.217677355,1.103998065,1
335,897,-1.435233355,0.77052176,1
335,929,-2.800318718,1.099454165,1
335,961,-4.307314396,0.5499300957,1
335,993,-4.656368256,0.2890305221,1
335,1025,-2.013216019,-0.07619076967,1
335,1057,-1.822819233,-0.7113848925,1
335,1089,-1.785009146,-0.4116892219,1
335,1121,-0.9433956146,0.2900015116,1
335,1153,-1.616520882,1.413460732,1
335,1185,-2.409663677,2.479778528,1
335,1217,-3.566920519,2.887737274,1
335,1249,-5.289747238,2.737462521,1
335,1281,-6.136303902,2.834267855,1
335,1313,-7.782126904,3.3478899,1
335,1345,-7.875065804,3.065887451,1
335,1377,-6.007537842,3.083436966,1
335,1409,-6.245306969,3.652581692,1
335,1441,-6.430528164,3.047434092,1
335,1473,-5.885606766,2.953762293,1
335,1505,-5.195065975,3.233811617,1
335,1537,-5.959732533,4.328118324,1
335,1569,-5.630813122,5.503986359,1
335,1601,-5.321808815,4.48418808,1
335,1633,-4.617264748,2.340376616,1
335,1665,-2.83929944,0.9786115885,1
335,1697,-2.388221264,1.122579455,1
335,1729,-2.894442558,0.8579624891,1
335,1761,-2.829108953,0.7136152983,1
335,1793,-2.62575531,0.6429133415,1
335,1825,-4.580376625,0.5970671177,1
335,1857,-5.297161579,1.486016035,1
335,1889,-4.316686153,2.592796803,1
335,1921,-4.468416691,2.175195456,1
335,1953,-3.859797955,2.287782192,1
335,1985,-2.210753918,2.074357033,1
335,2017,-0.9352560043,-0.9289344549,1
367,33,-1.258726597,0.767749548,1
367,65,-0.124840036,-0.8573884964,1
367,97,0.7317872047,-0.5240249634,1
367,129,0.6788749695,-3.35519743,1
367,161,-0.1567211747,-2.218393326,1
367,193,-0.8494963646,-2.838976145,1
367,225,-1.16101253,-3.757247925,1
367,257,-0.7842633128,-2.502023935,1
367,289,-1.430861712,-1.070622802,1
367,321,-2.318811893,-1.468670011,1
