PIVlab, ASCII chart output - 24-Oct-2024
FRAME: 13, filenames: A:[13]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi & B:[14]AVI_Pos025_TimeSrs002425_TgLifeactGFP_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
1119,257,-0.3719216585,1.371552706,1
1119,321,-1.186032534,2.487108707,1
1119,385,-1.985450983,3.434931755,1
1119,449,-2.406329155,2.923035145,1
1119,513,-2.217188835,2.543607473,1
1119,577,-3.427360058,1.918832302,1
1119,641,-2.903216839,-2.704218864,1
1119,705,-2.687583923,2.602713823,1
1119,769,-2.023842812,8.232824326,1
1119,833,-1.474148393,2.249140739,1
1119,897,-0.6411675215,1.617914557,1
1119,961,0.05810505152,-0.7516771555,1
1119,1025,0.8519411087,-2.014426947,1
1119,1089,2.469792843,-1.283635616,1
1119,1153,4.420032501,-0.2229222804,1
1119,1217,3.777226448,-0.252915591,1
1119,1281,3.736316681,-0.5115773678,1
1119,1345,3.608712912,0.3184246421,1
1119,1409,2.924842596,0.5076785684,1
1119,1473,2.3295331,0.6345835924,1
1119,1537,1.627138376,0.8720804453,1
1119,1601,1.185179353,0.2761021256,1
1119,1665,0.8031055927,0.3200851679,1
1119,1729,0.6816239357,0.929344058,1
1119,1793,0.4313565493,1.929763198,1
1119,1857,-0.2785018981,1.682630301,1
1119,1921,-0.9379813671,1.332229614,1
1119,1985,-1.436930418,0.6416966915,1
1183,65,-1.638371468,-3.429236412,1
1183,129,-1.615002155,-1.17011714,1
1183,193,-1.725720406,1.910720944,1
1183,257,-1.838421822,2.929667711,1
1183,321,-2.494379997,3.181919575,1
1183,385,-3.556225777,4.542415619,1
1183,449,-3.565770626,3.122441292,1
1183,513,-4.751878738,2.445904493,1
1183,577,-6.393065453,2.181783915,1
1183,641,-5.131992817,2.435018063,1
1183,705,-3.633585453,2.999812603,1
1183,769,-2.916818619,8.938652992,1
1183,833,-2.309644938,2.578791618,1
1183,897,-1.629966736,4.839080334,1
1183,961,-0.7156973481,1.501638412,1
1183,1025,-0.06704688072,0.481133461,1
1183,1089,1.118693352,-2.031470537,1
1183,1153,2.298261404,-1.226354122,1
1183,1217,3.060450554,-0.1513983607,1
1183,1281,3.384887695,-0.3521533608,1
1183,1345,3.337249041,1.605354309,1
1183,1409,2.897123814,2.887746811,1
1183,1473,2.639796019,2.416947365,1
1183,1537,1.68452704,2.15371418,1
1183,1601,1.044097066,1.935446858,1
1183,1665,0.4459060431,1.234403491,1
1183,1729,0.558919549,1.198987603,1
1183,1793,0.2506819069,2.17698431,1
1183,1857,-0.1687538028,2.861125469,1
1183,1921,0.01592384279,3.487262726,1
1183,1985,-0.1593486071,0.2895871401,1
1247,65,-3.15762043,2.772547007,1
1247,129,-2.071988344,2.254334927,1
1247,193,-3.261321545,3.520387888,1
1247,257,-3.792327166,4.427177906,1
1247,321,-4.238302708,4.551246643,1
1247,385,-4.87214756,6.23969698,1
1247,449,-4.904886246,4.122124672,1
1247,513,-6.524504662,3.470899105,1
1247,577,-4.420030594,0.03211236,1
1247,641,-4.718457699,2.920407295,1
1247,705,-7.031923294,3.447668552,1
1247,769,-8.000015259,6.625267029,1
1247,833,-3.987138271,3.372271538,1
1247,897,-2.561898708,5.730834007,1
1247,961,-4.727077484,2.104503393,1
1247,1025,-0.9535980225,1.027796745,1
1247,1089,-1.298059464,-0.1171157658,1
1247,1153,0.3249239922,-0.03770372272,1
1247,1217,1.809323907,0.5666484833,1
1247,1281,2.415854454,0.9115890265,1
1247,1345,2.546845675,1.508658051,1
1247,1409,2.352326393,2.293889999,1
1247,1473,2.290859938,2.824565649,1
1247,1537,1.837795019,2.805047989,1
1247,1601,1.297736883,2.193316221,1
1247,1665,0.9918826818,1.511626363,1
1247,1729,0.5986824632,1.620862007,1
1247,1793,0.328130126,3.005758286,1
1247,1857,0.1064339578,4.504548073,1
1247,1921,0.2750319541,3.072361946,1
1247,1985,0.9668126106,0.01518678665,1
1311,65,-2.576002121,5.210294724,1
1311,129,-2.865825415,3.773036957,1
1311,193,-3.787466526,3.93945837,1
1311,257,-5.085577011,5.109902859,1
1311,321,-5.58862257,6.312392235,1
1311,385,-7.824545383,8.550587654,1
1311,449,-9.657476425,7.619753838,1
1311,513,-7.849606037,4.85323143,1
1311,577,-5.306257725,1.976508141,1
1311,641,-4.806830883,3.09330678,1
1311,705,-5.321378708,3.311792612,1
1311,769,-4.775268078,4.456533432,1
1311,833,-3.746229649,4.341069698,1
1311,897,-2.954686642,4.130861282,1
1311,961,-8.02362442,2.604020596,1
1311,1025,-3.656451702,1.159099698,1
1311,1089,-2.019625902,0.4965423942,1
1311,1153,-0.6910498142,1.101058722,1
1311,1217,1.361153603,1.35007,1
1311,1281,1.19975698,1.881620169,1
1311,1345,1.999653816,1.829483271,1
1311,1409,2.692493677,1.905312538,1
1311,1473,2.87156105,2.229352951,1
1311,1537,2.564837933,2.240242243,1
1311,1601,2.354543686,1.551239491,1
1311,1665,2.578226089,1.25386548,1
1311,1729,1.210647821,2.238249779,1
1311,1793,0.8900335431,7.118321419,1
1311,1857,0.5655559301,4.944190979,1
1311,1921,0.7175383568,3.209339142,1
1311,1985,1.897265196,0.7247107029,1
1375,65,-3.082255363,5.926389694,1
1375,129,-3.421245813,4.612222195,1
1375,193,-3.934756279,2.719736099,1
1375,257,-0.734773159,1.684648991,1
1375,321,-7.218242168,6.880698204,1
1375,385,-7.94651413,7.28703022,1
1375,449,-7.708555698,6.372427464,1
1375,513,-10.02891445,6.910237789,1
1375,577,-12.32671547,7.060568333,1
1375,641,-9.474906921,4.628157616,1
1375,705,-5.675320148,3.674405098,1
1375,769,-5.730166435,4.379760742,1
1375,833,-4.746235371,4.439184189,1
1375,897,-3.362066269,3.780394077,1
1375,961,-6.376648903,2.853451729,1
1375,1025,-5.408448219,1.274702668,1
1375,1089,-2.739029169,0.6114904284,1
1375,1153,-0.6734956503,1.131643772,1
1375,1217,-0.5923098326,1.743527174,1
1375,1281,0.6676859856,1.815302491,1
1375,1345,1.829735637,2.196210146,1
1375,1409,3.244336128,1.768056512,1
1375,1473,3.529265165,1.391584635,1
1375,1537,3.29992485,0.9747353792,1
1375,1601,3.048261881,0.8956873417,1
1375,1665,3.188735247,0.9248753786,1
1375,1729,0.8812534809,1.463001013,1
1375,1793,0.5144016743,4.136064529,1
1375,1857,1.49053371,3.325724602,1
1375,1921,1.483282089,2.443500757,1
1375,1985,1.329120994,1.180362582,1
