PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 1, filenames: A:[1]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi & B:[2]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
271,929,37.61271667,38.81254578,1
271,961,NaN,NaN,2
271,993,43.98983765,35.41705322,1
271,1025,42.25590897,35.89484787,1
271,1057,NaN,NaN,2
271,1089,NaN,NaN,2
271,1121,NaN,NaN,2
271,1153,NaN,NaN,2
271,1185,NaN,NaN,2
271,1217,NaN,NaN,2
271,1249,NaN,NaN,2
271,1281,NaN,NaN,2
271,1313,64.25709534,14.76557922,1
271,1345,60.01118851,13.85587788,1
271,1377,60.69416046,12.87457466,1
271,1409,NaN,NaN,2
271,1441,NaN,NaN,2
271,1473,NaN,NaN,2
271,1505,NaN,NaN,2
271,1537,NaN,NaN,2
271,1569,NaN,NaN,2
271,1601,NaN,NaN,2
271,1633,NaN,NaN,2
271,1665,NaN,NaN,2
271,1697,NaN,NaN,2
271,1729,NaN,NaN,2
271,1761,16.69986343,9.832723618,1
271,1793,10.79080868,8.747290611,1
271,1825,NaN,NaN,2
271,1857,NaN,NaN,2
271,1889,NaN,NaN,2
271,1921,NaN,NaN,2
271,1953,NaN,NaN,2
271,1985,NaN,NaN,2
271,2017,-0.6921164989,-0.190728724,1
303,33,NaN,NaN,2
303,65,NaN,NaN,2
303,97,NaN,NaN,2
303,129,NaN,NaN,2
303,161,NaN,NaN,2
303,193,NaN,NaN,2
303,225,NaN,NaN,2
303,257,2.157160282,40.05731964,1
303,289,2.633985281,41.44212341,1
303,321,3.367946148,40.58927155,1
303,353,4.625582218,39.00968552,1
303,385,4.854696274,38.78615189,1
303,417,NaN,NaN,2
303,449,10.44977665,39.3459053,1
303,481,11.77580357,41.02902603,1
303,513,NaN,NaN,2
303,545,NaN,NaN,2
303,577,NaN,NaN,2
303,609,NaN,NaN,2
303,641,NaN,NaN,2
303,673,20.56157303,41.21203232,1
303,705,22.1621933,41.86712646,1
303,737,NaN,NaN,2
303,769,28.82427788,41.72490692,1
303,801,31.73776245,41.45137024,1
303,833,36.0302887,39.93449402,1
303,865,NaN,NaN,2
303,897,38.37733841,40.4557991,1
303,929,39.05503082,39.51196289,1
303,961,NaN,NaN,2
303,993,42.6236496,38.29829788,1
303,1025,45.39056396,37.07580185,1
303,1057,NaN,NaN,2
303,1089,NaN,NaN,2
303,1121,NaN,NaN,2
303,1153,NaN,NaN,2
303,1185,NaN,NaN,2
303,1217,NaN,NaN,2
303,1249,NaN,NaN,2
303,1281,NaN,NaN,2
303,1313,51.67271423,10.1887455,1
303,1345,NaN,NaN,2
303,1377,NaN,NaN,2
303,1409,NaN,NaN,2
303,1441,NaN,NaN,2
303,1473,NaN,NaN,2
303,1505,NaN,NaN,2
303,1537,NaN,NaN,2
303,1569,21.34804535,0.4824028015,1
303,1601,NaN,NaN,2
303,1633,NaN,NaN,2
303,1665,NaN,NaN,2
303,1697,NaN,NaN,2
303,1729,NaN,NaN,2
303,1761,NaN,NaN,2
303,1793,NaN,NaN,2
303,1825,NaN,NaN,2
303,1857,NaN,NaN,2
303,1889,NaN,NaN,2
303,1921,NaN,NaN,2
303,1953,NaN,NaN,2
303,1985,0.293212533,0.3653605878,1
303,2017,-2.44729495,-0.1191795766,1
335,33,NaN,NaN,2
335,65,NaN,NaN,2
335,97,NaN,NaN,2
335,129,NaN,NaN,2
335,161,NaN,NaN,2
335,193,NaN,NaN,2
335,225,NaN,NaN,2
335,257,-0.2286173105,40.44580078,1
335,289,2.385743618,40.59035492,1
335,321,3.047960281,40.74102402,1
335,353,NaN,NaN,2
335,385,4.712165833,39.32011032,1
335,417,4.676804066,41.6198082,1
335,449,7.514603615,41.13196182,1
335,481,10.79833126,42.74399185,1
335,513,NaN,NaN,2
335,545,NaN,NaN,2
335,577,NaN,NaN,2
335,609,NaN,NaN,2
335,641,NaN,NaN,2
