PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 13, filenames: A:[13]MAX_TimeSrs026_TgUtrmcherry_Control.avi & B:[14]MAX_TimeSrs026_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
335,1697,6.420908928,-0.7480940819,1
335,1729,5.050859451,-1.707877636,1
335,1761,3.853599072,-1.782695413,1
335,1793,2.489137173,-1.063675404,1
335,1825,0.9906525612,-0.9410871267,1
335,1857,1.395900011,-0.9364038706,1
335,1889,3.100940228,0.2617762387,1
335,1921,3.016019106,0.9320498705,1
335,1953,2.598319769,1.081894517,1
335,1985,2.529255867,2.733607769,1
335,2017,1.993062496,0.1794224977,1
367,33,-5.014543533,0.01528034732,1
367,65,-4.403012753,-0.3613773286,1
367,97,-2.77610302,0.3160110116,1
367,129,-1.438405037,0.3044769168,1
367,161,-0.9379912615,0.3138677776,1
367,193,-0.4726312757,1.441119909,1
367,225,-0.03934131563,0.1655808985,1
367,257,0.09078876674,-0.160548538,1
367,289,0.5739563107,-0.3458608985,1
367,321,0.6281781793,-1.295099378,1
367,353,-0.6034069657,0.6266698837,1
367,385,-0.6073231697,1.563256741,1
367,417,0.7427283525,1.574756026,1
367,449,1.741811514,1.507037282,1
367,481,0.5445461273,0.2110580206,1
367,513,0.5935498476,-0.1657999754,1
367,545,0.4691394866,0.2709230185,1
367,577,0.5304369926,0.7349438667,1
367,609,0.5891237259,2.108302116,1
367,641,0.3524953723,2.048839808,1
367,673,0.584641993,-0.2502570748,1
367,705,0.2146741152,-0.3986873627,1
367,737,1.318095565,0.4252513945,1
367,769,1.039969087,0.3415728509,1
367,801,0.5999107957,0.5361891389,1
367,833,0.5995002389,2.282853842,1
367,865,0.005289435387,0.2200950086,1
367,897,-0.2256308794,-0.4218336642,1
367,929,-0.4185173512,-0.2005417943,1
367,961,6.524187088,-0.116248101,1
367,993,6.045516491,-0.658977747,1
367,1025,4.227861881,-1.221564293,1
367,1057,5.308943272,-1.575934529,1
