PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 14, filenames: A:[14]MAX_TimeSrs019_TgUtrmcherry_Control.avi & B:[15]MAX_TimeSrs019_TgUtrmcherry_Control.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
335,1153,2.67457366,-4.607778072,1
335,1185,3.036479235,-4.391649246,1
335,1217,3.284950495,-4.468393803,1
335,1249,2.949717522,-4.746509075,1
335,1281,2.60584712,-5.115990162,1
335,1313,3.200804949,-5.114096642,1
335,1345,3.044013739,-3.756774426,1
335,1377,2.07463789,-3.339536667,1
335,1409,2.310014248,-2.50968504,1
335,1441,2.84423852,-1.468533039,1
335,1473,2.586325169,-3.184378147,1
335,1505,2.55347991,-3.319979668,1
335,1537,2.421720743,-3.410803318,1
335,1569,2.831246614,-3.938682079,1
335,1601,3.184371948,-3.898798704,1
335,1633,3.373436928,-3.566246271,1
335,1665,2.727606773,-3.309353113,1
335,1697,2.587702274,-3.560271025,1
335,1729,2.340056419,-5.354484081,1
335,1761,1.780786991,-6.497743607,1
335,1793,0.9320553541,-6.85884428,1
335,1825,-0.3076982498,-3.757561445,1
335,1857,-0.9574735165,-2.522506237,1
335,1889,-0.8842511177,-1.589324713,1
335,1921,-0.007056355476,-0.9628578424,1
335,1953,0.3757815361,-0.3027603626,1
335,1985,0.7219825983,0.3038191199,1
335,2017,2.546327591,-1.364175558,1
367,33,2.622404337,-2.339433432,1
367,65,1.422804117,-0.7793602943,1
367,97,0.1089078188,-3.997374058,1
367,129,0.05617976189,-5.679431915,1
367,161,-0.4035173953,-4.145130157,1
367,193,-0.3636102974,-2.579754353,1
367,225,0.5826055408,-2.141127348,1
367,257,1.766622424,-2.747089148,1
367,289,0.2348549366,-7.023842812,1
367,321,-0.1160606146,-6.438384533,1
367,353,-0.06255078316,-1.442619324,1
367,385,0.6564626694,-1.633886576,1
367,417,3.002084732,-2.79668498,1
367,449,5.172633648,-2.486407042,1
367,481,-0.2025289536,0.151072979,1
367,513,4.706471443,-3.866118431,1
367,545,4.302798271,-3.262248993,1
367,577,4.269927979,-3.62394762,1
367,609,3.772534132,-2.726908684,1
367,641,4.314715385,-2.24136734,1
367,673,4.831745625,-3.488487482,1
367,705,4.058136463,-3.708311081,1
367,737,3.5582757,-4.047096252,1
367,769,6.275355816,-4.517745018,1
367,801,7.149234772,-5.003087997,1
