PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 47, filenames: A:[47]AVI_Pos011_TimeSrs0011_TgUtrmcherry_K4K8MO.avi & B:[48]AVI_Pos011_TimeSrs0011_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
335,737,-0.05246376991,-2.012279987,1
335,769,-1.341712594,0.7567767501,1
335,801,-1.857657313,1.373002052,1
335,833,-2.035246611,0.9946514368,1
335,865,-1.49172163,1.273814201,1
335,897,-1.23472178,1.067415953,1
335,929,-1.19210434,2.641616583,1
335,961,-1.056685448,3.139220715,1
335,993,-0.4758738279,2.162663937,1
335,1025,-0.5726810098,1.988115072,1
335,1057,-0.897046566,1.640861154,1
335,1089,-1.646938205,-0.5098751783,1
335,1121,-2.299741268,0.2349615097,1
335,1153,-1.673279524,0.1794101,1
335,1185,-0.7752714157,0.8962122202,1
335,1217,-0.4597284794,1.710041523,1
335,1249,-0.6351311207,1.415646315,1
335,1281,-0.3837923408,0.6618578434,1
335,1313,0.2244472504,0.6857163906,1
335,1345,-0.2862966657,1.024536967,1
335,1377,0.6499050856,2.171872854,1
335,1409,0.2042530775,1.840769291,1
335,1441,-0.6385818124,1.298328161,1
335,1473,-0.1624183655,0.3675554991,1
335,1505,0.2213297188,0.5167102218,1
335,1537,-0.1317273378,0.7444640398,1
335,1569,-0.1722756028,0.4340054691,1
335,1601,0.002797722816,0.2898158729,1
335,1633,-0.5266840458,0.1512247324,1
335,1665,NaN,NaN,2
335,1697,NaN,NaN,2
335,1729,0.3148432076,-0.1877334714,1
335,1761,0.6663014889,-0.5798768997,1
335,1793,0.886936605,-1.585953236,1
335,1825,0.9881314635,-4.165775299,1
335,1857,0.3945516944,-2.645204544,1
335,1889,0.0984005928,-1.418574572,1
335,1921,0.1447067857,-1.387450457,1
335,1953,0.2517755032,-1.460371733,1
335,1985,-0.3876959682,-0.1269142628,1
335,2017,-0.3695197105,-0.4789786339,1
367,33,-2.934574604,0.1729778051,1
367,65,-3.729125738,0.6660403609,1
367,97,-4.11149168,-0.1307689697,1
367,129,-4.726114273,-0.6068446636,1
367,161,-6.218049049,-0.2199902236,1
367,193,-2.579798937,-0.007736295462,1
367,225,-2.356446743,-0.4883804917,1
367,257,-2.559345484,0.6817843318,1
367,289,-1.972697973,-0.1668187678,1
367,321,-2.296650171,-2.772564411,1
