LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_42,42,42,2,0,0,0,0,0,1.0,1.0,2.0,61.44811594094593,1587.6312339350638,368.80210773496503,0.0,61.44811594094593,61.44811594094593,61.44811594094593,61.44811594094593,NaN,50798.0,61.44811594094593,61.44811594094593,1.0,61.44811594094593,1.0,NaN
Track_43,43,43,8,0,0,0,0,0,7.0,5.0,12.0,39.46225307213119,255.34706496133327,1631.0905633691395,0.0,21.744560091862628,49.425996255454194,6.99211228324394,16.659447519458002,14.286519758793586,49943.125,152.2119206430384,49.425996255454194,0.2592586238017229,5.63746472459017,0.2592586238017229,2.692542362209057
Track_44,44,44,7,1,0,0,0,1,7.0,5.0,12.0,5.637197285741123,417.61725754684255,1737.3290535517688,0.0,18.845982540264885,31.070127725971545,11.831528226365789,18.656842980097423,6.615080584707714,57632.57142857143,124.90742346795511,19.486683048550116,0.04513100285978872,0.8053138979630176,0.04273132993954788,2.6423125562643826
Track_45,45,45,8,0,0,0,0,0,7.0,5.0,12.0,49.66738275131787,1717.615429125441,1778.2924397476204,0.0,47.065443109812726,96.75578889276882,11.112979203194044,29.262020553576853,35.57970840310534,73022.75,329.45810176868906,99.82149639551297,0.15075477726812467,7.09534039304541,0.15075477726812467,2.0548508629002726
Track_46,46,46,9,0,0,0,0,0,8.0,4.0,12.0,71.91753573454062,97.992223339461,989.0798535166052,0.0,14.36940667115584,25.747484036029874,4.793570868747204,16.431129557796254,8.239737284770273,50556.666666666664,114.95525336924672,71.91753573454062,0.6256133027999595,8.989691966817578,0.6256133027999595,1.6070802413610086
Track_47,47,47,6,0,0,0,0,0,5.0,5.0,10.0,27.41969128779,709.5414519872328,536.1665301687153,0.0,19.279739834512178,29.376745911262844,9.975472286493764,20.915281695296905,7.97918688921198,18966.666666666668,96.39869917256091,29.376745911262844,0.28444046987300825,5.483938257558,0.28444046987300836,2.8402576097314656
Track_48,48,48,2,0,0,0,0,0,1.0,0.0,1.0,106.92403131098678,1356.1953934053186,1133.3335279142916,0.0,106.92403131098678,106.92403131098678,106.92403131098678,106.92403131098678,NaN,21700.5,106.92403131098678,106.92403131098678,1.0,106.92403131098678,1.0,NaN
Track_49,49,49,2,0,0,0,0,0,1.0,0.0,1.0,123.08670989184898,1520.1239908060875,1223.1766574704657,0.0,123.08670989184898,123.08670989184898,123.08670989184898,123.08670989184898,NaN,28031.0,123.08670989184898,123.08670989184898,1.0,123.08670989184898,1.0,NaN
Track_50,50,50,5,0,0,0,0,0,4.0,8.0,12.0,50.73580644032487,1426.7922770035896,486.1879393762071,0.0,25.808662585938322,32.59592424541719,17.853196485731196,28.707020400030554,6.3442958742387585,36056.0,103.23465034375329,50.73580644032487,0.4914610188670522,12.683951610081218,0.4914610188670522,2.1867646757616055
Track_51,51,51,6,1,0,0,0,1,6.0,6.0,12.0,44.89805075363345,120.23542023419479,1354.2982804314677,0.0,17.795052474836417,55.59082282938439,4.129658551926938,8.514437719817957,21.523442200507024,61146.833333333336,93.10492092610903,44.89805075363345,0.4822306952955359,7.483008458938908,0.42051061493190095,2.430434093430785
