PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[2]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
271,65,-0.3762541413,-0.08997690678,1
271,97,-0.3812360168,-0.5782694817,1
271,129,-0.04705518484,-0.09019899368,1
271,161,0.1207398176,0.6533612013,1
271,193,0.3506581187,0.7640348673,1
271,225,0.4555804729,1.068217754,1
271,257,-10.75800705,11.83375359,1
271,289,-6.729110241,-7.09270525,1
271,321,-8.155140877,-8.607096672,1
271,353,-9.51687336,-9.27427578,1
271,385,-10.96092701,-9.659893036,1
271,417,-14.34169769,-10.71226692,1
271,449,-15.39335728,-11.32812214,1
271,481,-15.01095295,-11.35605526,1
271,513,-15.53369617,-11.29972649,1
271,545,-16.1601696,-11.47296333,1
271,577,-15.90548706,-11.26105881,1
271,609,-16.7419014,-11.30302811,1
271,641,-17.67319298,-11.34253311,1
271,673,-18.22497177,-10.65905476,1
271,705,-19.44913483,-9.680716515,1
271,737,-20.7179966,-8.647413254,1
271,769,-21.77770996,-8.326580048,1
271,801,-22.15184975,-6.879914284,1
271,833,-21.62377739,-6.468656063,1
271,865,-20.69942474,-5.896826267,1
271,897,-20.47681427,-4.911867142,1
271,929,-20.89482498,-4.159980774,1
271,961,-21.05672836,-3.169067621,1
271,993,-20.77243423,-2.065374374,1
271,1025,-21.53415298,-1.090705395,1
271,1057,-22.89137268,-0.195995003,1
271,1089,-22.59439278,0.09864854813,1
271,1121,-22.15682793,1.642028093,1
271,1153,-22.38777542,2.276050091,1
271,1185,-21.5880661,2.127093077,1
271,1217,-20.37621689,3.375293732,1
271,1249,-19.34405327,4.46746254,1
271,1281,-18.21022606,5.724560738,1
271,1313,-17.15055656,6.662567616,1
271,1345,-16.49648094,8.047576904,1
271,1377,-15.95842552,10.054739,1
271,1409,-15.11497593,9.747168541,1
271,1441,-13.64050388,8.586078644,1
271,1473,-12.55463696,8.863393784,1
271,1505,-12.72331905,9.722924232,1
271,1537,-12.01032543,9.941534996,1
271,1569,-10.96488476,9.521676064,1
271,1601,-10.81003666,9.31275177,1
271,1633,-10.33774376,9.326524734,1
271,1665,-9.733789444,9.117380142,1
271,1697,-8.708122253,8.966653824,1
271,1729,-8.647247314,8.649004936,1
271,1761,-9.072816849,8.510891914,1
271,1793,-9.103359222,8.162051201,1
271,1825,-8.425871849,8.573671341,1
271,1857,-7.821396351,8.976884842,1
271,1889,-7.603810787,9.546915054,1
271,1921,-8.6147995,9.645378113,1
271,1953,-8.044187546,9.971167564,1
271,1985,-6.778169155,6.160161495,1
271,2017,-4.411910057,-4.909149647,1
