PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 1, filenames: A:[1]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi & B:[2]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
207,577,-3.629487753,-1.646161318,1
207,609,-3.571528196,-2.392654419,1
207,641,-3.791541338,-3.143904924,1
207,673,-3.492712498,-2.639103889,1
207,705,-2.982260942,-2.354673862,1
207,737,-3.040846348,-1.741883039,1
207,769,-3.800979137,-1.32503736,1
207,801,-4.659753323,-0.7982180119,1
207,833,-2.224523544,1.166178465,1
207,865,-0.604590416,-0.456166029,1
207,897,-0.04696702957,-1.086770535,1
207,929,-1.470363379,0.232868433,1
207,961,-3.763477802,0.6130024195,1
207,993,-2.88961482,0.675031662,1
207,1025,-2.156032085,1.647658348,1
207,1057,-1.952411652,2.533118725,1
207,1089,-2.313605785,3.732579231,1
207,1121,-1.379151344,4.644978523,1
207,1153,0.7469165921,4.057968616,1
207,1185,0.6126024723,3.866384506,1
207,1217,0.8598812819,4.515465736,1
207,1249,1.473271608,5.504900932,1
207,1281,2.190375566,4.924127102,1
207,1313,3.570028305,2.865050316,1
207,1345,3.555425167,2.06929636,1
207,1377,3.294984818,2.394398212,1
207,1409,3.512814283,2.692551374,1
207,1441,4.078482628,3.330276489,1
207,1473,3.845786333,4.344549656,1
207,1505,3.674117088,4.39431572,1
207,1537,3.635737181,3.542489529,1
207,1569,3.295024157,3.677336454,1
207,1601,3.644816399,4.442495346,1
207,1633,3.798897982,4.556297779,1
207,1665,3.898871422,5.150031567,1
207,1697,3.958571434,6.201044559,1
207,1729,1.880848885,6.187880516,1
207,1761,1.063088417,6.109721184,1
207,1793,2.253077269,6.440974236,1
207,1825,3.118181467,6.591621399,1
207,1857,2.416372061,6.596151352,1
207,1889,2.019382715,6.867841244,1
207,1921,2.256045341,7.225301743,1
207,1953,2.38749671,6.466948509,1
207,1985,2.236901283,2.912285805,1
207,2017,14.5762558,-5.815400124,1
239,33,-2.85203743,0.828332305,1
239,65,-1.961385131,-0.8334349394,1
239,97,-1.515408039,-1.179170847,1
239,129,-1.697578669,-1.786756516,1
239,161,-3.106351852,-1.131717086,1
239,193,-3.107146502,-0.5643109083,1
239,225,-3.228198528,-0.7269592285,1
239,257,-3.833093405,-1.419566631,1
239,289,-3.775927782,-1.895594716,1
239,321,-3.377006292,-0.979095459,1
239,353,-3.452975988,-0.8352839947,1
239,385,-3.739933491,-2.090681314,1
239,417,-4.091266632,-2.646790743,1
239,449,-1.180622816,-0.8375812769,1
239,481,-1.862457514,-0.5083048344,1
239,513,-2.923853636,-0.9967750311,1
239,545,-3.554493904,-2.077869415,1
239,577,-4.250909328,-2.375038385,1
239,609,-4.288703918,-2.348696232,1
239,641,-4.987905502,-3.332476854,1
239,673,-4.19743681,-4.098469257,1
239,705,-3.025740147,-3.751126051,1
239,737,-3.339399338,-2.697896481,1
239,769,-4.169434547,-1.89389658,1
239,801,-4.296278954,-1.09169507,1
239,833,-2.957711458,0.3692643642,1
239,865,-1.613111973,-0.4254840612,1
239,897,-2.288208961,-0.6455661058,1
239,929,-2.471467257,0.02307291329,1
239,961,-3.487294912,0.3106621504,1
239,993,-2.802057505,0.5921410322,1
239,1025,-1.95299077,-0.1604104042,1
239,1057,-2.570987701,1.974738121,1
239,1089,-3.276537895,3.194089174,1
239,1121,-2.047628403,4.002019882,1
239,1153,-0.114841491,3.739028454,1
239,1185,0.4843091965,4.136835098,1
239,1217,0.7507022619,4.1229949,1
239,1249,1.262316227,4.32934618,1
239,1281,1.794324756,3.831218243,1
239,1313,2.479659081,3.681392193,1
239,1345,3.768546581,4.399423122,1
239,1377,3.96673584,4.06362772,1
239,1409,3.703606129,4.189973831,1
239,1441,4.158274174,4.495373726,1
239,1473,4.082986832,5.317823887,1
239,1505,3.378776312,4.691727161,1
239,1537,2.394402027,3.749732018,1
239,1569,1.782725573,3.21104908,1
239,1601,3.568658829,4.788737774,1
239,1633,3.563569546,4.784818172,1
239,1665,3.636486292,4.955501556,1
239,1697,3.253241301,6.245584011,1
239,1729,1.47415638,6.69668293,1
239,1761,0.7766191959,6.973758698,1
239,1793,2.962948322,6.923062325,1
239,1825,2.131257534,7.03219986,1
239,1857,1.760515451,7.195431709,1
239,1889,1.424603224,7.766597748,1
239,1921,1.901605844,8.690779686,1
239,1953,1.7657547,7.567127228,1
239,1985,2.112845659,1.926009655,1
239,2017,10.76333714,-8.485527992,1
271,33,-2.448727608,1.709942341,1
271,65,-1.402523994,-1.373064041,1
271,97,-0.9612903595,-1.590619326,1
271,129,-2.019124985,-2.816713095,1
271,161,-2.371442795,-2.238056183,1
271,193,-2.602252007,-0.9925538301,1
271,225,-3.014961243,-1.076385617,1
271,257,-3.186214924,-1.792327642,1
271,289,-3.337876558,-2.397830486,1
271,321,-3.53665638,-1.074223757,1
271,353,-3.893437624,-0.8087935448,1
271,385,-3.169340611,-1.952355385,1
271,417,-2.67027998,-2.085491657,1
271,449,-1.127821922,-1.216355085,1
271,481,-1.737995386,-1.783671856,1
271,513,-2.365629435,-2.103767872,1
271,545,-3.959075451,-2.772387505,1
271,577,-5.096308231,-3.420060635,1
271,609,-4.602517128,-2.946058273,1
271,641,-5.060642719,-3.570987701,1
271,673,-4.796310425,-4.304769516,1
271,705,-4.009750366,-4.397623062,1
271,737,-4.410765171,-3.739187002,1
271,769,-4.727858067,-2.763275623,1
271,801,-4.263659954,-1.968183041,1
271,833,-4.395836353,-0.6470091343,1
271,865,-3.756132126,-1.172874689,1
271,897,-3.438005447,-0.7089917064,1
271,929,-3.206096649,-0.2175586522,1
271,961,-0.7694778442,0.6838802099,1
271,993,-0.8808453083,0.1499305964,1
271,1025,-1.802145004,-2.075276375,1
271,1057,-2.248549461,1.259451151,1
271,1089,-1.841365099,3.439981461,1
271,1121,-1.433922052,3.044108152,1
271,1153,-0.4840042591,3.559371948,1
271,1185,0.6502366662,4.234558105,1
271,1217,0.4367089868,3.657307863,1
271,1249,0.7116931081,3.43407011,1
271,1281,2.367339611,2.821418047,1
271,1313,3.256291628,3.598496675,1
271,1345,3.943183899,4.44110775,1
271,1377,4.509063244,4.770593643,1
271,1409,4.22454071,5.740888596,1
271,1441,4.955018997,5.569450378,1
271,1473,4.724341393,5.110593319,1
271,1505,3.749265432,4.898570061,1
271,1537,2.776712894,6.084681988,1
271,1569,-0.6770625114,1.344851017,1
271,1601,2.772676468,4.930879593,1
271,1633,3.30992651,5.408986092,1
271,1665,3.496836185,5.529136658,1
271,1697,3.317317486,6.031742096,1
271,1729,2.675847769,6.985272408,1
271,1761,1.258799314,7.208175659,1
271,1793,0.6495840549,6.895368099,1
271,1825,1.029703379,7.200680256,1
271,1857,0.4801523685,7.645861626,1
271,1889,0.4078047276,8.788419724,1
271,1921,1.766929269,9.368810654,1
271,1953,1.883204222,7.266316414,1
271,1985,0.8915333748,6.659267426,1
271,2017,6.050364494,-9.572021484,1
303,33,-2.892322779,2.924485207,1
303,65,-2.474954128,-2.817590475,1
303,97,-2.309663773,-2.941664696,1
303,129,-2.687320948,-2.501008034,1
303,161,-2.772844553,-1.91223824,1
303,193,-3.426813602,-1.231071353,1
303,225,-2.909039259,-1.613651037,1
303,257,-2.848220587,-2.674641848,1
303,289,-2.974174261,-3.36143589,1
303,321,-3.345951319,-2.299650669,1
303,353,-3.928481102,-1.666861296,1
303,385,-2.976001024,-2.40733099,1
303,417,-2.828653336,-2.329890728,1
303,449,-2.52819252,-2.344118118,1
303,481,-1.843682051,-2.516087294,1
303,513,-2.86892128,-2.679746389,1
303,545,-3.764118195,-3.720055819,1
303,577,-4.239175797,-5.926199913,1
303,609,-5.35633564,-3.903273106,1
303,641,-5.831680298,-4.571166039,1
303,673,-5.06647253,-5.167420864,1
303,705,-4.124686718,-5.34007597,1
303,737,-4.637093544,-4.495106697,1
303,769,-4.472576141,-3.9012568,1
303,801,-4.453889847,-2.994114161,1
303,833,-4.684556961,-1.845007896,1
303,865,-4.744300842,-1.643041849,1
303,897,-4.322308064,-0.2135677338,1
303,929,-2.408409119,1.183178306,1
303,961,-1.944468021,0.3487611711,1
303,993,-2.900143385,-0.2869619131,1
303,1025,-2.927728891,-0.70485425,1
303,1057,-2.318694115,0.5190629959,1
303,1089,-0.343817234,2.9818542,1
303,1121,0.1479626894,3.751349926,1
303,1153,-0.1362742186,4.263696671,1
303,1185,-0.5096544027,4.01947546,1
303,1217,-0.001568049192,3.544109583,1
303,1249,0.9558957219,3.496707201,1
303,1281,2.067734241,3.349755526,1
303,1313,2.817407608,3.31771183,1
303,1345,3.525676012,4.981033325,1
303,1377,3.905839205,5.307341576,1
303,1409,3.620805502,5.488774776,1
303,1441,4.440074921,5.402416706,1
303,1473,4.464439392,5.222951889,1
303,1505,3.33476305,5.020281792,1
303,1537,0.8912653923,8.3671875,1
