PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 1, filenames: A:[1]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi & B:[2]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
340,355,2.485536575,-0.6231174469,1
340,371,2.495140553,-1.261455297,1
340,387,2.647615671,-1.013667583,1
340,403,2.884773493,-0.9404885769,1
356,19,1.160638452,0.3051722646,1
356,35,0.458820343,1.269765139,1
356,51,0.2858798504,1.428780913,1
356,67,1.130932927,1.321277618,1
356,83,1.410491943,0.5189663768,1
356,99,1.556934953,-0.5798593163,1
356,115,1.780036688,-0.6337836981,1
356,131,1.972735763,-0.1187141538,1
356,147,1.725436091,-0.1676955223,1
356,163,1.237359881,-0.8921468258,1
356,179,1.195044041,-0.8871994019,1
356,195,1.391164184,-0.5501660109,1
356,211,1.679865599,-1.608392835,1
356,227,2.198545694,-2.278813362,1
356,243,1.861669779,-2.792130232,1
356,259,1.701142073,-2.837198496,1
356,275,1.679728508,-2.473395109,1
356,291,1.780142665,-2.455160141,1
356,307,1.866793513,-2.498683453,1
356,323,1.941664457,-2.177309036,1
356,339,2.169907808,-1.369924068,1
356,355,2.253471375,-0.9483067989,1
356,371,2.085483074,-1.136713147,1
356,387,2.230087519,-1.139280081,1
356,403,2.700601339,-1.264482498,1
372,19,0.8997298479,0.7219487429,1
372,35,0.4746705294,1.200769782,1
372,51,NaN,NaN,2
372,67,1.020322323,0.6135897636,1
372,83,1.341224909,0.01023343205,1
372,99,1.549809933,-0.475143075,1
372,115,1.736569285,-0.6558051109,1
372,131,1.830373526,-0.2310764194,1
372,147,1.868124127,-0.4085553885,1
372,163,1.753225207,-1.138917208,1
372,179,1.538292527,-0.8368680477,1
372,195,1.307894349,-1.28956449,1
372,211,1.013414741,-2.516059399,1
372,227,1.280977726,-2.893525839,1
372,243,1.229521155,-2.567043304,1
372,259,1.170461416,-2.841625452,1
372,275,1.636996865,-2.378813505,1
372,291,1.771077514,-2.164116859,1
372,307,2.201632977,-2.001451731,1
372,323,2.139950275,-1.81916225,1
372,339,1.750330091,-1.774283648,1
372,355,1.81451118,-1.605861783,1
372,371,1.993397474,-1.094876409,1
372,387,2.298654318,-1.280064583,1
372,403,2.642753601,-2.183676243,1
388,19,0.5706360936,1.411585569,1
388,35,0.8031364083,1.223762751,1
388,51,0.9711129665,0.8127880692,1
388,67,1.025238037,0.5690483451,1
388,83,1.146368384,0.06637129188,1
388,99,1.483597755,-0.221663624,1
388,115,1.77829814,-0.4888489842,1
388,131,1.964050055,-0.2692135572,1
388,147,2.007778645,-0.6412215233,1
388,163,2.032962799,-1.229932308,1
388,179,2.179537296,-1.533679247,1
388,195,1.876829147,-1.692567706,1
388,211,1.38489604,-2.260700941,1
388,227,1.193042994,-2.920058727,1
388,243,1.608402491,-2.68287468,1
388,259,1.489346266,-3.121263504,1
388,275,1.93324542,-2.911441803,1
388,291,2.210539103,-2.008224249,1
388,307,2.510572195,-1.847578764,1
