 ,Area,Mean,X,Y,Major,Minor,Angle
39,597.679,16.596,387.380,91.802,31.842,23.899,143.277
40,353.308,8.792,509.286,90.149,29.736,15.128,132.212
41,565.293,15.928,116.181,97.839,38.192,18.846,63.133
42,379.806,24.785,359.868,93.966,24.241,19.949,155.336
43,736.058,13.448,441.634,102.893,42.631,21.984,114.874
44,446.051,24.782,194.784,100.238,30.089,18.875,75.084
45,362.141,26.103,175.644,100.182,23.701,19.455,89.693
46,641.843,30.012,288.403,107.773,33.698,24.251,139.759
47,566.765,10.221,499.821,107.059,36.244,19.910,114.455
48,373.918,11.370,478.378,103.523,24.744,19.241,111.524
49,578.542,30.191,317.082,108.245,30.405,24.227,76.694
50,516.713,29.904,339.213,105.974,29.025,22.667,92.633
51,521.129,22.159,138.351,113.273,34.409,19.283,44.989
52,887.686,27.548,252.979,115.873,45.369,24.912,39.008
53,899.463,25.574,370.838,116.874,39.383,29.079,17.321
54,705.144,22.926,403.037,121.350,35.998,24.941,105.110
55,340.059,28.253,155.406,116.291,28.316,15.291,51.279
56,1037.842,21.926,429.636,127.293,49.073,26.927,113.367
57,363.613,12.493,519.893,118.582,28.381,16.313,113.596
58,273.814,39.315,227.247,118.317,21.807,15.987,56.283
59,790.527,20.791,468.765,127.057,39.525,25.465,120.456
60,397.471,25.292,172.775,123.083,25.547,19.810,85.965
61,596.207,23.399,195.419,127.042,29.390,25.829,107.214
62,660.980,21.857,104.619,130.609,38.448,21.889,72.151
63,462.245,14.349,493.658,128.499,31.752,18.536,129.563
64,750.779,20.276,122.016,140.458,41.366,23.109,59.126
65,953.931,32.754,260.820,139.888,43.269,28.070,33.369
66,711.032,30.429,291.662,137.969,32.996,27.437,77.185
67,584.430,30.698,345.284,134.431,30.800,24.160,129.220
68,722.809,31.452,322.422,139.680,39.221,23.465,128.909
69,501.992,23.702,151.886,137.529,30.201,21.163,15.000
70,843.523,33.507,217.408,142.257,37.361,28.747,32.385
71,1082.006,21.884,517.943,156.419,60.751,22.677,93.184
72,775.805,30.019,380.600,143.351,36.106,27.358,14.708
73,388.639,15.081,538.047,145.418,30.031,16.477,113.726
74,675.701,28.403,455.195,149.259,34.756,24.754,114.469
75,893.575,31.232,178.093,153.358,40.363,28.188,81.380
76,532.906,35.640,411.546,151.318,27.634,24.554,64.133
77,681.590,17.977,84.123,158.630,42.418,20.459,60.115
78,921.545,22.430,490.510,156.963,39.109,30.002,146.684
79,593.263,24.968,129.651,166.992,40.900,18.469,81.943
80,541.739,33.995,309.562,160.862,26.870,25.670,118.231
81,886.214,26.263,151.379,166.479,39.803,28.349,79.067
82,684.534,33.466,235.714,165.937,36.010,24.204,79.836
83,817.025,31.361,359.610,168.091,42.667,24.381,114.000
84,487.271,18.571,554.025,171.243,35.275,17.588,110.363
85,1217.440,26.690,436.814,176.136,47.583,32.577,128.533
86,460.772,38.173,386.621,166.109,27.247,21.532,22.265
87,507.880,34.144,262.185,169.809,30.878,20.942,69.937
88,1273.381,36.666,282.164,185.086,56.458,28.717,75.782
89,1083.478,27.497,191.597,183.750,45.726,30.170,75.008
90,607.984,21.333,91.311,179.783,41.899,18.475,65.426
91,415.137,36.826,213.417,171.816,29.169,18.121,113.041
92,394.527,18.211,537.364,174.196,29.854,16.826,104.541
93,665.397,24.142,111.785,181.661,41.676,20.329,91.280
94,815.552,31.216,334.374,177.139,35.253,29.456,69.534
95,1167.388,23.104,472.952,185.606,47.483,31.303,108.166
96,976.013,37.741,400.656,187.454,39.938,31.116,28.963
97,448.996,26.658,499.177,186.736,28.026,20.398,94.904
98,819.969,34.316,160.243,196.333,41.769,24.995,58.290
99,706.616,34.809,306.949,193.745,35.409,25.409,70.678
100,706.616,31.061,247.394,200.269,39.252,22.921,80.555
101,543.211,15.562,572.535,197.850,36.384,19.009,114.023
102,522.601,23.658,71.771,202.224,39.138,17.001,84.803
103,896.519,23.010,132.730,206.787,46.681,24.453,86.261
104,590.319,23.626,532.414,201.989,40.025,18.779,101.517
105,459.300,34.881,369.130,196.778,26.155,22.359,177.927
106,837.634,35.003,221.580,203.240,37.013,28.815,91.673
107,362.141,18.111,551.932,199.007,25.948,17.770,102.590
108,438.691,27.925,94.145,205.831,29.651,18.837,68.556
109,811.136,29.344,333.117,206.041,45.901,22.500,32.820
110,1049.619,31.318,433.587,213.259,46.567,28.699,111.490
111,722.809,25.395,515.961,212.646,43.273,21.268,107.131
112,616.817,25.500,108.469,219.772,39.004,20.135,63.744
113,821.441,25.951,463.855,220.957,39.638,26.386,105.465
114,856.772,26.891,493.191,222.884,37.211,29.316,98.244
115,943.627,32.066,174.079,226.901,48.188,24.933,86.426
116,842.051,30.400,198.215,225.153,48.582,22.068,84.097
117,917.129,30.245,356.567,223.444,38.491,30.338,100.386
118,650.675,36.553,384.761,223.205,34.125,24.277,90.843
119,537.322,39.370,408.557,221.003,30.511,22.422,115.958
