PIVlab, ASCII chart output - 12-Feb-2024
FRAME: 40, filenames: A:[40]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi & B:[41]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
239,833,0.4642866254,0.01932108402,1
239,865,0.64980793,0.03618440032,1
239,897,1.965530753,-0.2266901135,1
239,929,0.9745425582,-0.6469857693,1
239,961,-0.9631499648,-1.161104679,1
239,993,-1.603949308,-2.572846889,1
239,1025,-0.4184448421,-2.348122597,1
239,1057,-0.1160856932,-1.452353358,1
239,1089,0.2724092007,-0.1422941685,1
239,1121,0.6081409454,0.2361146212,1
239,1153,0.2448965609,-0.1941669881,1
239,1185,-0.1161580682,-0.1475052238,1
239,1217,0.1885714829,0.1998289227,1
239,1249,1.542105198,-0.5757237673,1
239,1281,0.26266101,-0.5961933732,1
239,1313,-0.2286849767,-0.4320458472,1
239,1345,-0.1686460078,0.2933201194,1
239,1377,-0.2703324556,0.3944121003,1
239,1409,-0.7744069099,-0.3512301445,1
239,1441,-0.9702427983,-0.6220526695,1
239,1473,-0.5559852719,-0.4261447191,1
239,1505,-0.0365896523,-0.4632853866,1
239,1537,-0.2750110924,-0.526753664,1
239,1569,-0.201867938,-0.01241724566,1
239,1601,-0.6591528654,0.3955806196,1
239,1633,-0.8747964501,0.3591108322,1
239,1665,-0.6700240374,-0.4140779972,1
239,1697,-0.4691087604,-0.7853927612,1
239,1729,-0.07536590099,-1.796168327,1
239,1761,0.5200836658,-1.737291813,1
239,1793,0.3725052178,-0.5144643784,1
239,1825,0.4016174376,0.2535453439,1
239,1857,0.02523911744,0.3622876406,1
239,1889,-0.5552483201,0.3805273771,1
239,1921,-0.3200467527,0.348795414,1
239,1953,0.09211447835,0.009931102395,1
239,1985,-0.001523122191,-0.2689740658,1
239,2017,0.2463455796,-0.187112689,1
271,33,-0.0177450031,-0.005430489779,1
271,65,-0.3120842874,-0.02800088376,1
271,97,-0.5506887436,0.1322756708,1
271,129,-0.3394495845,0.08528475463,1
271,161,-0.1152170599,-0.03123694658,1
271,193,-0.1294587404,-0.3034373224,1
271,225,0.08699303865,-0.3545153737,1
271,257,0.1220374107,-0.1106368005,1
271,289,-0.04535496235,-0.2082054317,1
271,321,0.01102717221,-6.258487701e-05,1
271,353,0.1252603829,-0.1768837869,1
271,385,0.30361408,-0.4139871299,1
271,417,0.02779793739,-0.09410667419,1
271,449,0.2689244747,-0.1149809361,1
271,481,0.8486019969,-0.3367042542,1
271,513,0.7590838671,-0.1322677135,1
271,545,1.848623991,-0.7972978354,1
271,577,2.70182991,-1.906169772,1
271,609,2.648370266,-2.642418146,1
271,641,2.462975025,-2.847812653,1
271,673,3.329914808,-3.997767925,1
271,705,2.232186079,-2.731233597,1
271,737,2.652264833,-1.6217978,1
271,769,2.836760521,-1.51646781,1
271,801,0.4131518006,-0.6797930002,1
271,833,0.3635807931,-0.1428828239,1
271,865,0.1492293775,-0.4859229326,1
271,897,0.02315986156,-0.4656586647,1
271,929,-0.02073967457,-0.7683081627,1
271,961,-0.07674098015,-1.232792616,1
271,993,-1.036862373,-2.482040882,1
271,1025,-1.047469735,-2.109131098,1
271,1057,-0.5154741406,-1.078825235,1
271,1089,0.1398200393,0.1737228632,1
271,1121,0.5565537214,0.05795481801,1
271,1153,0.2196733057,-0.2195549607,1
271,1185,-0.2114882469,-0.1192385703,1
271,1217,0.267259717,0.01511916518,1
271,1249,1.035721421,-0.1891947389,1
271,1281,0.4294120967,-0.1200211942,1
271,1313,0.07093374431,-0.00144675374,1
271,1345,-0.05992799997,0.1913464069,1
271,1377,-0.6385943294,0.3755130768,1
271,1409,-1.265354037,-0.327032268,1
271,1441,-1.096216679,-0.1539027691,1
271,1473,-1.106188178,-0.178193748,1
271,1505,-0.9861799479,-0.7135887146,1
271,1537,-0.4019382,-0.4223859012,1
271,1569,-0.2310026884,0.006795302033,1
271,1601,-0.729801774,0.1779449135,1
271,1633,-1.522465587,0.09693452716,1
271,1665,-2.569299221,-0.2488177866,1
271,1697,-2.915673018,-0.2504332066,1
271,1729,-1.158394337,-1.095998406,1
271,1761,0.07777832448,-0.6473273039,1
271,1793,0.6101313829,-0.2327079475,1
271,1825,0.6410495043,0.006285279989,1
271,1857,0.1525877714,0.0961561203,1
271,1889,-0.7035900354,0.2509249151,1
271,1921,-0.4737240374,0.1360382438,1
271,1953,-0.0136834234,-0.2702628374,1
271,1985,-0.03289480507,-0.4382391572,1
271,2017,0.2581545711,-0.2103551626,1
303,33,-0.1275895238,-0.02088676766,1
303,65,-0.3260233104,-0.03214198723,1
