 ,Mean,Mode,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
182,16.021,6.562,4.393,163.052,183.229,354.872,189.144,62.332,51.842,8.696,65.922,125,299,6.340,54.803
183,9.932,6.972,3.793,64.068,590.039,341.507,81.969,30.787,18.812,69.984,31.848,481,294,72.255,19.568
184,12.517,5.094,4.016,65.350,104.115,346.343,109.007,38.536,24.903,129.514,41.907,80,270,112.109,27.463
185,17.659,6.962,5.274,128.761,224.727,341.341,88.893,29.481,24.859,85.939,31.639,180,294,57.529,25.936
186,18.840,10.163,4.994,103.016,335.089,356.259,212.306,73.909,47.905,172.155,80.427,249,306,11.310,51.635
187,6.153,4.632,3.630,24.147,608.452,346.270,84.425,32.659,16.127,92.785,33.994,505,300,87.955,16.986
188,14.027,11.375,4.399,62.953,490.152,351.167,113.383,34.389,26.108,40.802,41.252,385,295,28.072,26.345
189,10.860,5.377,3.739,59.641,71.110,348.488,95.555,29.773,26.693,138.860,34.167,59,275,96.116,25.867
190,20.624,7.968,5.665,96.365,416.975,344.638,78.583,27.300,21.284,177.000,28.142,332,287,7.431,21.792
191,12.124,5.620,3.619,96.790,539.685,349.869,92.194,32.318,22.677,53.201,35.436,436,301,51.953,25.178
192,16.962,7.364,4.994,115.289,284.168,357.370,122.109,41.001,32.549,9.491,43.746,215,298,19.440,34.148
193,20.062,11.195,6.063,120.297,450.688,357.848,93.898,32.619,26.088,159.440,33.842,357,291,165.466,26.596
194,14.860,7.105,4.448,84.452,133.207,367.222,113.728,38.421,32.003,172.551,39.297,94,302,171.119,32.759
195,14.393,8.456,4.498,92.607,92.509,371.316,115.637,35.646,34.704,143.758,39.521,62,313,17.879,33.788
196,9.848,6.915,4.129,40.707,570.674,367.464,88.718,31.865,21.352,60.914,35.829,462,316,61.699,23.788
197,7.061,5.009,3.315,33.236,591.147,370.760,106.061,40.747,21.298,60.160,41.837,476,320,60.461,23.561
198,12.637,9.670,4.394,67.219,60.554,372.907,100.438,35.131,26.250,105.724,36.500,45,292,105.422,27.828
199,15.528,9.111,5.351,63.688,509.602,373.544,122.139,41.044,33.885,48.035,43.205,404,315,38.157,36.033
200,12.545,9.066,4.811,39.394,542.584,380.625,128.189,43.319,34.399,63.204,46.440,436,328,56.725,35.018
201,21.319,9.117,6.165,122.427,475.623,368.671,61.040,20.569,17.678,172.462,21.974,383,302,173.660,18.200
202,9.814,9.237,3.946,64.144,36.567,377.235,95.026,34.732,23.583,111.515,36.013,21,298,122.619,23.247
203,6.687,4.163,3.073,29.635,606.270,381.392,74.535,29.981,15.317,74.200,31.194,497,327,76.504,15.736
204,22.582,10.703,7.584,101.525,568.893,389.448,49.236,15.937,14.936,94.384,17.244,463,316,140.711,14.560
205,7.611,4.811,3.618,50.627,589.093,399.856,81.257,26.557,24.138,169.577,28.011,474,326,162.350,24.880
