 ,Mean,Mode,Min,Max,X,Y,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
162,13.034,8.253,4.982,71.972,77.661,370.997,87.345,33.516,17.393,137.736,35.829,56,294,118.301,17.671
163,14.136,6.894,5.217,50.397,469.586,379.722,118.978,44.654,21.071,79.062,47.381,380,295,92.936,23.611
164,12.963,8.483,4.190,85.588,257.108,386.855,167.532,55.145,43.676,101.189,60.678,209,296,101.535,46.949
165,13.142,6.275,3.977,73.181,345.817,375.256,122.978,43.519,29.244,158.299,47.999,267,303,159.274,32.031
166,8.641,6.350,4.146,43.068,569.129,393.499,135.702,52.701,27.350,92.223,56.141,465,346,83.797,27.285
167,12.865,7.082,4.883,49.914,429.661,389.123,141.834,52.202,24.811,109.903,52.859,337,306,121.866,27.863
168,10.963,5.821,4.273,92.325,490.415,395.474,140.183,48.072,31.504,88.257,53.509,400,303,93.900,35.413
169,9.648,7.018,3.764,39.210,70.813,392.581,122.322,47.846,24.445,124.675,50.026,51,304,112.834,26.108
170,10.801,6.984,4.160,47.981,101.338,396.207,126.780,46.976,28.927,105.096,49.746,81,305,102.680,31.347
171,14.496,7.016,4.759,72.727,401.830,392.998,148.198,52.500,31.346,143.919,57.539,306,318,155.056,35.462
172,9.870,5.958,3.727,46.028,543.734,400.681,142.127,57.316,27.372,95.883,56.023,446,308,94.970,27.316
173,17.836,10.673,4.705,60.261,226.638,388.358,70.685,21.247,18.349,162.294,25.335,175,322,163.301,20.599
174,6.623,5.215,3.055,31.418,31.459,402.798,118.041,47.237,20.277,90.689,52.229,25,354,87.337,22.334
175,15.497,15.251,5.137,60.816,167.011,395.727,112.362,33.160,27.697,106.836,43.746,131,312,109.440,28.664
176,15.384,8.496,4.538,111.221,322.553,402.935,135.119,47.579,35.101,39.430,50.567,249,347,30.256,34.643
177,9.622,6.932,4.220,38.083,518.215,407.122,123.761,46.175,27.522,89.290,48.350,423,354,72.474,26.693
178,7.934,4.954,4.229,37.971,54.279,411.534,134.031,54.997,20.347,108.126,59.502,35,319,110.283,23.721
179,14.669,10.069,5.203,58.210,187.488,411.298,134.249,53.752,22.456,72.690,59.167,147,365,74.539,25.223
180,19.395,13.165,5.862,82.173,364.095,406.320,124.047,43.343,28.023,105.573,48.075,300,318,100.176,31.471
181,15.381,6.987,4.929,55.106,287.734,406.186,108.657,33.621,29.937,118.793,39.128,231,320,119.745,29.966
182,15.146,9.014,5.122,69.417,221.638,411.544,137.430,48.565,34.426,163.966,48.910,168,324,133.995,36.375
183,15.072,8.108,4.740,73.719,386.651,421.224,126.521,50.590,22.897,92.005,51.662,312,326,99.462,25.699
184,11.451,7.752,4.967,41.530,131.529,412.541,92.359,31.959,17.360,119.748,38.712,99,330,122.196,21.448
185,11.929,7.352,4.921,47.835,450.082,422.458,116.095,44.345,23.078,84.106,48.729,366,370,71.114,23.053
186,10.256,6.943,4.511,42.236,157.516,425.943,139.031,48.834,31.089,122.383,56.857,117,332,129.806,33.869
187,13.809,9.383,4.694,58.045,346.005,430.892,141.852,44.516,36.632,147.068,49.493,266,350,168.690,38.759
188,10.766,7.236,4.740,39.273,473.986,423.641,104.197,37.462,24.417,109.108,41.502,386,333,105.255,26.693
189,8.809,5.996,4.086,43.199,75.708,428.940,100.152,36.965,17.392,109.837,42.897,56,338,118.740,19.753
190,9.012,7.000,4.355,34.454,127.291,437.254,132.542,52.620,23.403,117.200,57.947,97,338,109.573,25.924
191,9.134,5.385,4.549,52.142,98.455,431.001,115.596,41.222,25.554,133.074,47.194,69,341,133.958,27.938
192,13.233,8.483,5.120,64.492,256.092,434.191,120.327,43.179,27.000,117.552,46.866,205,340,111.251,29.179
193,11.778,6.244,5.024,53.064,407.355,425.339,79.473,29.067,17.797,58.732,31.848,329,362,49.635,18.991
194,13.036,8.779,5.267,63.274,427.873,444.472,156.900,59.418,28.896,97.031,64.030,347,342,99.819,33.457
195,12.539,7.383,4.659,65.281,282.843,438.955,130.172,48.193,26.214,106.048,53.344,223,343,107.199,28.455
196,10.540,7.471,4.599,38.798,501.824,444.650,149.524,51.842,35.468,96.699,55.865,413,390,87.510,38.982
197,7.768,5.115,4.293,32.331,47.012,444.527,126.281,50.064,26.357,111.425,51.619,33,345,113.552,27.673
198,9.003,6.394,4.678,42.869,556.858,440.645,102.824,40.314,20.690,87.883,42.118,455,379,78.366,20.626
199,13.820,9.029,4.824,84.558,199.030,445.489,139.016,42.003,33.959,109.521,49.967,164,347,119.055,35.246
200,12.819,7.377,5.380,59.199,311.554,440.924,119.106,41.055,29.767,110.587,45.737,248,348,111.801,31.462
201,9.315,6.325,4.426,33.888,532.085,445.711,125.539,44.434,27.081,75.694,47.194,426,385,72.031,29.961
202,13.547,10.280,4.785,41.317,226.861,444.728,108.967,36.301,28.451,100.755,39.203,175,354,111.801,29.030
203,11.698,10.194,4.438,48.421,456.893,458.634,131.078,51.107,28.020,59.079,50.232,361,392,37.147,28.216
204,12.980,7.869,5.065,58.232,373.772,462.816,133.118,50.518,28.792,92.711,51.089,303,401,85.914,29.119
205,9.296,6.026,4.518,41.287,76.840,459.627,110.249,38.702,27.267,121.078,42.466,55,363,126.870,29.579
206,11.994,7.397,5.064,61.949,404.390,465.529,139.961,47.609,35.196,112.133,50.800,320,368,139.844,39.068
207,12.812,7.816,4.671,99.393,162.262,464.322,143.580,48.754,39.253,163.187,50.026,119,367,140.906,38.033
208,10.790,6.569,4.803,40.959,479.159,467.422,106.237,34.009,24.966,65.356,39.203,383,397,68.199,27.130
209,9.518,6.653,4.691,63.792,113.470,466.447,145.357,53.920,33.093,151.707,58.251,74,369,144.324,35.454
210,13.444,9.012,5.974,56.148,340.050,469.423,145.767,45.056,42.891,127.772,50.800,271,368,130.156,41.987
211,14.498,10.891,6.476,74.965,303.069,473.294,110.781,36.269,30.956,117.168,39.744,245,373,121.264,31.546
212,14.419,8.919,5.834,64.323,268.179,474.870,126.635,41.639,33.221,18.929,44.892,201,398,18.925,36.250
213,15.734,10.214,5.649,116.946,210.949,476.313,128.500,52.176,24.752,167.180,53.852,154,382,157.479,25.032
